2025-04-08 10:13:58.556 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'documentationPluginsBootstrapper'; nested exception is java.lang.NullPointerException
2025-04-08 10:58:18.985 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.mapper]' package. Please check your configuration.
2025-04-08 11:00:20.216 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.mapper]' package. Please check your configuration.
2025-04-08 11:01:07.108 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.mapper]' package. Please check your configuration.
2025-04-08 11:01:14.447 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.unicode' has been deprecated in favor of 'resource.loader.file.unicode'
2025-04-08 11:01:14.448 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.class' has been deprecated in favor of 'resource.loader.file.class'
2025-04-08 16:30:36.597 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 16:43:53.264 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 16:47:21.315 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 17:03:28.027 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 17:04:26.582 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 17:05:16.542 [http-nio-8888-exec-7] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.RuntimeException: io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0]
2025-04-08 17:05:34.514 [http-nio-8888-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.RuntimeException: io.jsonwebtoken.ExpiredJwtException: JWT expired at 2025-04-08T17:05:29Z. Current time: 2025-04-08T17:05:34Z, a difference of 5510 milliseconds.  Allowed clock skew: 0 milliseconds.]
2025-04-08 17:17:49.091 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 20:57:50.630 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 20:59:25.657 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 21:48:44.240 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 21:49:22.706 [http-nio-8888-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.asa.common.utils.Result com.asa.controller.AuthController.getToken(com.asa.service.vo.BackUserVo)]
2025-04-08 21:55:46.804 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 21:56:54.357 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 21:58:50.323 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 23:00:36.862 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-08 23:02:09.549 [http-nio-8888-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
