2025-04-09 02:07:02.611 [http-nio-8888-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-09 02:26:23.031 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-09 02:29:39.929 [http-nio-8888-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.dao.DuplicateKeyException: <EOL><EOL>### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'wangwu' for key 'back_user.name'<EOL><EOL>### The error may exist in com/asa/mapper/BackUserMapper.java (best guess)<EOL><EOL>### The error may involve com.asa.mapper.BackUserMapper.insert-Inline<EOL><EOL>### The error occurred while setting parameters<EOL><EOL>### SQL: INSERT INTO back_user  ( id, name, mobile, password, create_time, update_time, delete_flag, version )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )<EOL><EOL>### Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'wangwu' for key 'back_user.name'<EOL>; Duplicate entry 'wangwu' for key 'back_user.name'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'wangwu' for key 'back_user.name']
2025-04-09 02:39:40.956 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-09 02:40:09.341 [http-nio-8888-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public com.asa.common.utils.Result com.asa.controller.BackUserController.registryValidatorSave(com.asa.service.vo.RegistryVo): [Field error in object 'registryVo' on field 'mobile': rejected value [121]; codes [Pattern.registryVo.mobile,Pattern.mobile,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [registryVo.mobile,mobile]; arguments []; default message [mobile],[Ljavax.validation.constraints.Pattern$Flag;@2f5d038e,^[1-9]{1}\d{10}$]; default message [手机号格式不合法]] ]
2025-04-09 02:40:22.240 [http-nio-8888-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public com.asa.common.utils.Result com.asa.controller.BackUserController.registryValidatorSave(com.asa.service.vo.RegistryVo): [Field error in object 'registryVo' on field 'mobile': rejected value [dasd]; codes [Pattern.registryVo.mobile,Pattern.mobile,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [registryVo.mobile,mobile]; arguments []; default message [mobile],[Ljavax.validation.constraints.Pattern$Flag;@2f5d038e,^[1-9]{1}\d{10}$]; default message [手机号格式不合法]] ]
2025-04-09 02:42:19.678 [http-nio-8888-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-09 02:44:51.270 [http-nio-8888-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-09 03:51:11.388 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-09 10:22:06.984 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6h16m14s798ms202µs500ns).
2025-04-09 17:38:59.415 [http-nio-8888-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-09 20:52:49.131 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
