2025-04-14 16:09:29.065 [http-nio-8888-exec-8] WARN  org.apache.catalina.connector.Request - Creating the temporary upload location [C:\Users\Administrator\AppData\Local\Temp\tomcat.8888.6294279333878747287\work\Tomcat\localhost\ROOT] as it is required by the servlet [dispatcherServlet]
2025-04-14 18:00:34.157 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 18:00:45.152 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.unicode' has been deprecated in favor of 'resource.loader.file.unicode'
2025-04-14 18:00:45.153 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.class' has been deprecated in favor of 'resource.loader.file.class'
2025-04-14 18:02:53.858 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 18:03:05.560 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.unicode' has been deprecated in favor of 'resource.loader.file.unicode'
2025-04-14 18:03:05.560 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.class' has been deprecated in favor of 'resource.loader.file.class'
2025-04-14 18:03:53.205 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 18:04:09.076 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.unicode' has been deprecated in favor of 'resource.loader.file.unicode'
2025-04-14 18:04:09.082 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.class' has been deprecated in favor of 'resource.loader.file.class'
2025-04-14 18:26:37.064 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 19:35:27.971 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
